oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,geometry,density_numeric
Atlantic Ocean,NA,NA,Neuston net,0.00216,pieces/m3,0.0005-0.005,Low,2002-09-08,Fall,2002,4.75,"c(-66.34, 40.87)",2
Pacific Ocean,Coastal Waters of Southeast Alaska and British Columbia,NA,Grab sample,0,pieces/m3,0-0.0005,Very Low,2014-11-26,Fall,2014,3,"c(-122.6763, 47.8033)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1990-08-17,Summer,1990,3,"c(-65.39, 42.71)",1
Atlantic Ocean,NA,NA,Neuston net,0.012,pieces/m3,0.005-1,Medium,2005-06-11,Summer,2005,6.5,"c(-69.68, 42.67)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1998-07-07,Summer,1998,3,"c(-70.05, 42.43)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2000-07-02,Summer,2000,3,"c(-69.37, 39.02)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1991-10-11,Fall,1991,3,"c(-70.62, 40.98)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1999-07-05,Summer,1999,3,"c(-68.78, 42.04)",1
Atlantic Ocean,NA,NA,Neuston net,0.0108,pieces/m3,0.005-1,Medium,2008-04-08,Spring,2008,6.5,"c(-68.78, 25.17)",3
Atlantic Ocean,NA,NA,Grab sample,0.002,pieces/m3,0.0005-0.005,Low,2013-10-28,Fall,2013,4.75,"c(-76.1448, 39.3513)",2
Atlantic Ocean,Gulf of Mexico,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1997-01-05,Winter,1997,3,"c(-83.55, 24.85)",1
Atlantic Ocean,Gulf of Mexico,NA,Neuston net,0.0108,pieces/m3,0.005-1,Medium,2000-02-05,Winter,2000,6.5,"c(-82.58, 25.35)",3
Atlantic Ocean,NA,NA,Neuston net,0.003928,pieces/m3,0.0005-0.005,Low,2001-03-30,Spring,2001,4.75,"c(-81.35, 24.14)",2
Atlantic Ocean,NA,NA,Neuston net,0.00648,pieces/m3,0.005-1,Medium,2007-04-02,Spring,2007,6.5,"c(-79.4, 27.48)",3
