oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,city_st,pop,pop_rescaled,geometry,lon,lat
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2020-02-21,Winter,2020,3,"Charleston, SC",120083,1.43871661402552,"c(-79.9612, 32.7878)",-79.96120000000002,32.7878
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2022-01-27,Winter,2022,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9253, 32.7761)",-79.9253,32.7761
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-02-22,Winter,2022,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9708, 32.891)",-79.9708,32.891000000000005
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-10-23,Fall,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9254, 32.776)",-79.9254,32.77600000000001
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-11-21,Fall,2021,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9321, 32.8028)",-79.9321,32.8028
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-12-15,Winter,2021,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9338, 32.8021)",-79.9338,32.8021
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2020-09-11,Fall,2020,3,"Charleston, SC",120083,1.43871661402552,"c(-79.8331, 32.7699)",-79.8331,32.7699
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-10-02,Fall,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9261, 32.7872)",-79.9261,32.7872
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-02-17,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.858, 32.7572)",-79.858,32.7572
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-07-12,Summer,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9248, 32.7781)",-79.9248,32.77810000000001
